Start                         2021-10-18 03:00:00+00:00
End                           2022-10-17 03:00:00+00:00
Period                                              250
Start Value                                       100.0
End Value                                     87.762241
Total Return [%]                             -12.237759
Benchmark Return [%]                           9.811769
Max Gross Exposure [%]                            100.0
Total Fees Paid                                     0.0
Max Drawdown [%]                              25.395152
Max Drawdown Duration                              45.0
Total Trades                                          1
Total Closed Trades                                   0
Total Open Trades                                     1
Open Trade PnL                               -12.237759
Win Rate [%]                                        NaN
Best Trade [%]                                      NaN
Worst Trade [%]                                     NaN
Avg Winning Trade [%]                               NaN
Avg Losing Trade [%]                                NaN
Avg Winning Trade Duration                          NaN
Avg Losing Trade Duration                           NaN
Profit Factor                                       NaN
Expectancy                                          NaN
